Schema Link,Filtering Cond,Nullable Col,Multi Rows,Clause Abusing,Incorrect GT (FP),Other FP,FLEX is incorrect (FP),Structure,Value Repr.,Incorrect GT (FN),Multiple Ans FN,Other FN,FLEX is incorrect (FN)
0,0,0,0,0,0,0,3,3,0,2,0,0,0
0,1,0,0,0,2,0,2,0,0,3,0,0,0
0,0,0,3,0,0,0,0,0,0,3,0,0,0
1,0,0,3,0,0,0,1,2,0,3,0,0,0
0,2,2,1,0,0,0,0,0,0,0,0,0,2
0,1,0,1,1,0,0,0,0,0,2,0,0,3
0,0,0,0,2,1,0,1,2,0,3,0,0,0
0,2,1,0,0,0,0,0,0,0,3,0,0,0
0,1,2,0,0,0,0,0,0,0,1,0,0,2
0,3,0,3,0,0,0,0,0,0,2,0,0,1
0,0,0,3,0,0,0,0,2,0,1,0,0,1
0,0,0,3,0,0,0,1,0,0,3,0,0,0
2,0,1,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,3,3,0,1,0,1,0
0,0,0,0,0,0,0,3,1,0,3,0,0,0
0,0,0,0,0,2,0,3,1,0,1,1,2,1
0,0,0,0,0,0,0,3,0,3,1,0,0,0
0,0,0,0,0,0,0,3,2,3,1,0,0,0
0,2,1,0,0,1,0,0,0,0,3,0,0,0
0,0,2,0,0,0,1,0,0,0,3,0,0,0
0,2,0,1,0,1,0,0,0,0,3,0,0,0
1,0,0,0,0,2,0,0,0,0,3,0,0,0
1,0,0,0,0,0,0,2,0,2,1,0,0,0
0,0,0,3,0,1,0,0,0,0,3,0,0,0
0,0,0,0,0,0,0,3,0,0,3,0,0,0
3,0,0,0,0,0,0,1,0,0,3,0,0,0
1,0,0,0,0,0,0,3,3,0,0,0,0,0
0,1,0,0,0,0,0,2,0,0,3,0,0,0
2,0,0,1,0,1,0,0,0,0,3,0,0,0
0,2,0,0,0,1,0,1,0,0,3,0,0,0
0,0,0,1,0,1,0,2,0,0,3,0,0,0
0,0,0,3,0,0,0,0,3,0,1,0,0,0
0,0,0,2,0,0,0,1,3,0,2,0,0,0
2,0,0,0,0,0,0,0,0,3,0,0,0,0
0,3,0,0,0,0,0,0,0,0,2,0,0,1
0,0,0,3,0,0,0,0,0,0,3,0,0,0
0,2,0,0,0,0,0,3,0,0,3,0,0,0
0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,3,0,0,0,0,0,0,2,0,1,0,0,1
0,0,0,3,0,0,0,0,0,2,1,0,0,0
0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,0,1,0,0,0,1,0,2,0,0,0,0,1
0,0,0,3,0,0,0,0,2,0,1,0,0,0
0,3,0,0,0,0,0,0,0,0,2,0,0,1
0,2,0,0,0,1,0,0,3,0,0,0,0,0
0,0,0,1,2,0,0,1,2,0,0,0,0,1
0,0,0,0,0,0,0,3,3,0,1,0,0,0
0,0,2,1,0,0,1,0,0,0,3,0,0,0
0,0,0,1,0,0,0,2,0,0,1,2,0,0
3,0,0,0,0,0,0,0,0,0,1,0,0,2
0,0,0,1,0,1,0,2,0,3,0,0,0,0
0,2,0,0,0,0,0,1,2,0,1,1,0,1
0,0,0,0,0,0,0,3,0,0,1,0,0,2
0,0,0,3,0,1,0,0,3,0,2,0,0,0
0,0,0,0,1,0,0,1,2,0,2,0,0,1
2,0,0,0,0,1,0,0,0,0,1,0,0,2
0,0,0,3,0,0,0,0,0,0,2,0,0,1
0,1,0,0,0,1,1,2,2,2,1,0,0,0
1,0,0,0,0,1,0,2,0,0,3,0,0,0
0,0,2,1,0,0,0,0,2,0,1,2,0,0
1,0,0,0,0,0,1,1,0,0,2,0,0,1
0,0,0,0,0,0,1,2,2,0,1,2,0,0
0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,3,0,0,0,0,0,0,0,0,3,0,0,0
0,0,0,0,0,0,1,2,3,0,0,0,0,0
0,0,0,0,2,1,0,0,0,0,2,0,0,1
0,3,0,3,2,0,0,0,0,0,3,0,0,0
1,0,1,2,0,0,0,0,3,0,0,0,0,0
0,3,0,0,0,0,0,0,3,0,0,0,0,0
0,1,0,0,0,1,0,2,3,0,0,0,0,0
0,3,0,0,0,0,0,1,0,0,2,0,0,1
0,0,0,3,0,0,0,0,1,2,0,0,0,0
0,0,0,0,0,0,0,3,0,0,3,0,0,0
0,0,0,0,0,1,0,2,0,0,3,0,0,0
1,0,0,0,0,2,0,0,3,0,0,0,0,0
0,3,0,0,0,0,0,0,0,0,1,0,0,1
0,0,0,3,0,2,0,0,2,0,0,0,0,2
0,0,0,3,0,0,0,0,3,0,0,0,0,0
0,2,1,0,0,0,0,1,3,0,0,0,0,0
0,0,0,0,0,0,0,3,0,0,1,0,0,2
2,0,0,0,0,0,0,1,1,0,3,0,0,0
0,1,0,0,0,0,0,2,0,0,3,0,0,0
0,1,0,1,0,0,0,1,0,0,1,0,0,2
0,0,1,2,0,1,0,1,0,0,3,0,0,0
0,0,2,0,0,0,0,1,3,0,0,0,0,0
1,3,1,0,0,0,0,0,3,0,0,0,0,0
3,0,0,0,0,0,0,0,2,0,0,0,0,2
0,3,0,0,0,0,0,0,0,0,3,0,0,0
2,0,0,0,0,0,0,1,0,0,3,0,0,0
3,0,0,0,1,0,0,0,0,0,3,0,0,0
1,0,0,3,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,3,1,0,3,0,0,0
0,0,0,0,0,0,0,3,3,0,0,0,0,0
0,3,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,2,0,0,0,1,0,0,3,0,0,0
0,3,0,0,0,0,0,0,3,0,0,0,0,0
0,3,0,0,0,0,0,0,1,0,1,0,1,0
0,1,0,2,0,0,0,0,2,0,0,1,0,1
0,0,0,3,0,0,0,0,3,0,0,0,0,0
0,2,1,0,0,0,0,0,3,0,0,1,0,1